2024-01-01,32,18,8,42,36
2024-01-02,31,17,9,43,39
2024-01-03,33,19,11,44,37
2024-01-04,35,20,10,45,38
2024-01-05,36,21,8,46,40
2024-01-06,38,22,7,47,41
2024-01-07,37,23,6,48,42
2024-01-08,35,24,12,49,43
2024-01-09,33,24,5,50,44
2024-01-10,32,24,11,51,45
2024-01-11,31,24,9,52,46
2024-01-12,33,24,8,53,47
2024-01-13,35,24,10,54,48
2024-01-14,37,24,4,55,49
2024-01-15,38,24,6,56,50
2024-02-08,32,24,11,57,51
2024-02-09,30,24,3,58,52
2024-02-10,29,24,5,59,53
2024-02-11,28,24,2,60,54
2024-02-12,30,24,8,61,55
2024-02-13,32,24,6,62,56
2024-02-14,34,24,10,63,57
2024-02-15,35,24,4,64,58
2024-02-16,34,24,9,65,59
2024-02-17,32,24,5,66,60
2024-02-18,30,24,7,67,61
2024-02-19,29,24,4,68,62
2024-02-20,28,24,3,69,63
2024-03-01,30,24,8,71,65
2024-03-02,31,24,9,72,66
2024-03-03,34,24,7,73,67
2024-03-04,36,24,5,74,68
2024-03-06,32,24,6,70,64
2024-03-07,37,23,6,48,42
2024-03-08,35,24,12,49,43
2024-03-09,33,24,5,50,44
2024-03-10,32,24,11,51,45
2024-03-11,31,24,9,52,46
2024-03-12,33,24,8,53,47
2024-03-13,35,24,10,54,48
2024-03-14,37,24,4,55,49
2024-03-15,38,24,6,56,50
2024-04-08,32,24,11,57,51
2024-04-09,30,24,3,58,52
2024-04-10,29,24,5,59,53
2024-04-11,28,24,2,60,54
2024-04-12,30,24,8,61,55
2024-04-13,32,24,6,62,56
2024-04-14,34,24,10,63,57
2024-04-15,35,24,4,64,58
2024-04-16,34,24,9,65,59
2024-04-17,32,24,5,66,60
2024-04-18,30,24,7,67,61
2024-04-19,29,24,4,68,62
2024-04-20,28,24,3,69,63
2024-05-01,30,24,8,71,65
2024-05-02,31,24,9,72,66
2024-05-03,34,24,7,73,67
2024-05-04,36,24,5,74,68
2024-05-06,50,33,50,50,50
2024-05-23,50,50,50,50,50
2024-05-30,29,100,24,50,50
2024-05-31,0,9,50,50,50
